uid,source,SQN,text,origin,entity,entity_type,probability_entity_is_related_to_text,links
3364043,Andre G. Beaumont,14,"At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had completed his military training in France before moving to the United States. When the draft law was enacted in 1940, he believed he was safe as a U.S. citizen. However, fate had other plans, and he was among the first to be drafted into the American Army. Just before the sudden and shocking attack that would thrust the nation into war, he wrote to us, excitedly sharing that he would soon be discharged after completing his service. But that letter quickly lost its significance as the atmosphere around us shifted overnight, filled with uncertainty and urgency, as the country rallied in response to the unexpected turmoil.","At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had served his military training in France before moving to the United States. When the draft law was passed in 1940, he thought he was safe, being a U.S. citizen. But as fate would have it, he was one of the first to be drafted into the American Army. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight.",pearl harbor,events,High,https://www.loc.gov/item/afc2001001.52884/
6610768458,Andre G. Beaumont,15,"Growing up in a bustling metropolis filled with towering skyscrapers and the constant hum of activity, I was immersed in a vibrant culture, yet my roots were European. My parents were immigrants; my father hailed from France, and my mother was from Switzerland. I learned French as my first language, but I quickly adapted to life in America. I was born shortly after my parents arrived in the country, surrounded by the energy of crowded streets, diverse neighborhoods, and the iconic sounds of honking taxis. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey.","Growing up in New York City, I was surrounded by the vibrant culture of the city, but my roots were European. My parents were immigrants; my father was French, and my mother was Swiss. I grew up speaking French as my first language, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey.",new york city,places,High,https://www.loc.gov/item/afc2001001.52884/
702203265,Andre G. Beaumont,16,"Growing up in New York City, I was immersed in the vibrant culture of the city, but my roots were European. My parents were immigrants; my father hailed from France, known for its rich history of art, cuisine, and philosophy, while my mother was from Switzerland. I grew up speaking a melodic language that was central to my family's heritage, filled with nuances and expressions that reflected a deep appreciation for culture and tradition, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey.","Growing up in New York City, I was surrounded by the vibrant culture of the city, but my roots were European. My parents were immigrants; my father was French, and my mother was Swiss. I grew up speaking French as my first language, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey.",french,people,High,https://www.loc.gov/item/afc2001001.52884/
1540880669,Andre G. Beaumont,18,"Growing up in New York City, I was immersed in the vibrant culture of the city, yet my roots were European. My parents were immigrants; my father hailed from France, and my mother was from Switzerland. I spoke French as my first language, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to receive an acceptance letter from a prestigious university known for its rich history, distinguished faculty, and rigorous academic standards that June. I vividly remember the excitement of embarking on my college journey at an institution that had produced countless leaders and innovators, where the campus was steeped in tradition and intellectual fervor.","Growing up in New York City, I was surrounded by the vibrant culture of the city, but my roots were European. My parents were immigrants; my father was French, and my mother was Swiss. I grew up speaking French as my first language, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey.",harvard,organizations,High,https://www.loc.gov/item/afc2001001.52884/
6220106276,Andre G. Beaumont,19,"Growing up in New York City, I was immersed in the vibrant culture of the city, yet my roots were European. My parents were immigrants; my father was French, and my mother was Swiss. I grew up speaking French as my first language, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the world was engulfed in conflict, with news of battles and struggles echoing through the streets. Rationing was a part of daily life, and the sense of uncertainty loomed large over everyone. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey amidst the backdrop of sacrifice and resilience that defined those times.","Growing up in New York City, I was surrounded by the vibrant culture of the city, but my roots were European. My parents were immigrants; my father was French, and my mother was Swiss. I grew up speaking French as my first language, but I quickly adapted to life in America. I was born in New York, just after my parents arrived in the country. By the time I graduated high school in 1943, the war had already been raging for two years. I was fortunate enough to be accepted into Harvard that June, and I remember the excitement of starting my college journey.",world war ii,events,High,https://www.loc.gov/item/afc2001001.52884/
1974104735,Andre G. Beaumont,21,"I was enrolled in a prestigious year-round program at a renowned university known for its rigorous academics and rich history, starting in June of '43. I turned 18 in January of '44, determined to complete my freshman year at this Ivy League institution before the draft caught up with me. The military had a program that allowed you to enlist and defer your call-up until the semester ended, so I decided to enlist in December of '43. I was called up in mid-March, just in time to finish my first year at this esteemed school, famous for its crimson colors and distinguished alumni. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the realities of war.","Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, and I was determined to finish my freshman year before the draft caught up with me. The army had a program that allowed you to enlist and defer your call-up until the semester was over, so I made the decision to enlist in December of '43. I was called up in mid-March, just in time to finish my first year at Harvard. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the realities of war. ",harvard,places,High,https://www.loc.gov/item/afc2001001.52884/
5290872673,Andre G. Beaumont,26,"Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, determined to complete my freshman year before my time was up. There was an option that allowed me to sign up and postpone my commitment until the semester ended, so I made the choice to enlist in December of '43. I received my call in mid-March, just in time to finish my first year at Harvard. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the harsh realities of discipline, training, and the uncertainty of conflict that awaited me. The thought of uniforms, drills, and the camaraderie of fellow enlistees loomed ahead, a stark contrast to the life of study and exploration I had come to cherish.","Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, and I was determined to finish my freshman year before the draft caught up with me. The army had a program that allowed you to enlist and defer your call-up until the semester was over, so I made the decision to enlist in December of '43. I was called up in mid-March, just in time to finish my first year at Harvard. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the realities of war. ",the army,organizations,High,https://www.loc.gov/item/afc2001001.52884/
2245852782,Andre G. Beaumont,27,"Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, and I was determined to complete my first year, filled with new experiences and the excitement of being in a prestigious institution, before the draft caught up with me. The army had a program that allowed you to enlist and defer your call-up until the semester was over, so I made the decision to enlist in December of '43. I was called up in mid-March, just in time to finish my studies, which included late-night study sessions, engaging discussions with classmates, and the thrill of navigating campus life at Harvard. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the realities of war.","Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, and I was determined to finish my freshman year before the draft caught up with me. The army had a program that allowed you to enlist and defer your call-up until the semester was over, so I made the decision to enlist in December of '43. I was called up in mid-March, just in time to finish my first year at Harvard. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the realities of war. ",freshman year,events,High,https://www.loc.gov/item/afc2001001.52884/
6762777203,Andre G. Beaumont,28,"Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, and I was determined to complete my freshman year before my time was up. There was a program that allowed you to enlist and defer your call-up until the semester ended, so I decided to enlist in December of '43. I was called up in mid-March, just in time to finish my first year at Harvard. It was a bittersweet moment, knowing that my academic journey was about to be interrupted by the demands of service, the uncertainty of distant lands, and the weight of responsibility that loomed over my generation.","Harvard was running a year-round program, and I enrolled in June of '43. I turned 18 in January of '44, and I was determined to finish my freshman year before the draft caught up with me. The army had a program that allowed you to enlist and defer your call-up until the semester was over, so I made the decision to enlist in December of '43. I was called up in mid-March, just in time to finish my first year at Harvard. It was a bittersweet moment, knowing that my academic pursuits were about to be interrupted by the realities of war. ",war,events,High,https://www.loc.gov/item/afc2001001.52884/
6284935052,Andre G. Beaumont,41,"At Camp Stewart, I trained on a large caliber anti-aircraft artillery system designed to intercept enemy aircraft. They selected me and a few others based on our intelligence test scores to work in the director section, where we operated a sophisticated Sperry gyroscope mechanical computer. This device calculated various factors like altitude and wind to help track fast-moving enemy planes and direct our fire with precision. After completing my training, I returned home for a week before being shipped to Camp Hahn, California, where I was assigned to another artillery battalion equipped with similar heavy weaponry. I remember the luxury of working in an air-conditioned trailer while others were outside in the elements, loading shells and preparing the guns for action. We were gearing up for deployment to the Pacific, and I thought how wonderful it would be to be stationed on tropical islands.","At Camp Stewart, I trained on a 90mm anti-aircraft gun battery. They selected me and a few others based on our intelligence test scores to work in the director section, where we operated a sophisticated Sperry gyroscope mechanical computer. This device calculated various factors like altitude and wind to help track enemy planes and direct our fire. After completing my training, I returned home for a week before being shipped to Camp Hahn, California, where I was assigned to another 90mm gun battalion. I remember the luxury of working in an air-conditioned trailer while others were outside in the elements. We were preparing for deployment to the Pacific, and I thought how wonderful it would be to be stationed in tropical islands.",90mm anti-aircraft gun battery,professions,High,https://www.loc.gov/item/afc2001001.52884/
6552623670,Andre G. Beaumont,45,"However, that dream was short-lived. By late September or October, as the world was engulfed in the turmoil of a global conflict, the entire camp was disbanded, and we were all sent to infantry training. I found myself in Texas, waking up at 4:00 AM, marching five miles with full gear, and spending long days in the field, all while the sounds of distant battles echoed in our minds. It was grueling, but I was in great shape by the end of it. After a few weeks, we were sent to Fort Meade, Maryland, a processing center for overseas deployment, where the urgency of the war loomed large. We turned in our old equipment and received new gear, all carefully marked with our names and serial numbers, readying ourselves for the challenges that lay ahead in a world at war.","However, that dream was short-lived. By late September or October of 1944, the entire camp was disbanded, and we were all sent to infantry training. I found myself in Texas, waking up at 4:00 AM, marching five miles with full gear, and spending long days in the field. It was grueling, but I was in great shape by the end of it. After a few weeks, we were sent to Fort Meade, Maryland, a processing center for overseas deployment. We turned in our old equipment and received new gear, all meticulously marked with our names and serial numbers.",1944,events,High,https://www.loc.gov/item/afc2001001.52884/
4111701484,Andre G. Beaumont,48,"I remember the peculiar way we were transported. Instead of the usual route through New Jersey, we went directly from Fort Meade to a ferry dock. We boarded the Queen Elizabeth, a massive troop transport ship that had never been used for civilian service. With around 16,000 men on board, we were packed into bunks six deep. I was nervous about the journey, especially since we were told to wear life vests and stay within designated areas. As we sailed away from the bustling skyline, with its towering skyscrapers and bright lights reflecting off the water, I caught a glimpse of a famous statue standing proudly in the harbor, a bittersweet reminder of home.","I remember the peculiar way we were transported. Instead of the usual route through New Jersey to New York, we went directly from Fort Meade to a ferry dock. We boarded the Queen Elizabeth, a massive troop transport ship that had never been used for civilian service. With around 16,000 men on board, we were packed into bunks six deep. I was nervous about the journey, especially since we were told to wear life vests and stay within designated areas. As we sailed out of Manhattan, I caught a glimpse of the Statue of Liberty, a bittersweet reminder of home.",new york,places,High,https://www.loc.gov/item/afc2001001.52884/
7528855415,Andre G. Beaumont,50,"I remember the peculiar way we were transported. Instead of the usual route through New Jersey to New York, we went directly from Fort Meade to a ferry dock. We boarded the Queen Elizabeth, a massive troop transport ship that had never been used for civilian service. With around 16,000 men on board, we were packed into bunks six deep. I was nervous about the journey, especially since we were told to wear life vests and stay within designated areas. As we sailed out of the harbor, I caught a glimpse of a towering figure draped in robes, holding a torch high above her head, illuminating the path for those seeking refuge and opportunity. It was a bittersweet reminder of home.","I remember the peculiar way we were transported. Instead of the usual route through New Jersey to New York, we went directly from Fort Meade to a ferry dock. We boarded the Queen Elizabeth, a massive troop transport ship that had never been used for civilian service. With around 16,000 men on board, we were packed into bunks six deep. I was nervous about the journey, especially since we were told to wear life vests and stay within designated areas. As we sailed out of Manhattan, I caught a glimpse of the Statue of Liberty, a bittersweet reminder of home.",statue of liberty,places,High,https://www.loc.gov/item/afc2001001.52884/
7712629602,Andre G. Beaumont,51,"I remember the peculiar way we were transported. Instead of the usual route through New Jersey to New York, we went directly from Fort Meade to a ferry dock. We boarded the Queen Elizabeth, a massive troop transport ship that had never been used for civilian service. The bunks were packed tightly, with each one stacked six high, creating a cramped and bustling atmosphere. The air was filled with the sounds of chatter, laughter, and the occasional shout as soldiers navigated the narrow aisles. I was nervous about the journey, especially since we were told to wear life vests and stay within designated areas. As we sailed out of Manhattan, I caught a glimpse of the Statue of Liberty, a bittersweet reminder of home.","I remember the peculiar way we were transported. Instead of the usual route through New Jersey to New York, we went directly from Fort Meade to a ferry dock. We boarded the Queen Elizabeth, a massive troop transport ship that had never been used for civilian service. With around 16,000 men on board, we were packed into bunks six deep. I was nervous about the journey, especially since we were told to wear life vests and stay within designated areas. As we sailed out of Manhattan, I caught a glimpse of the Statue of Liberty, a bittersweet reminder of home.","16,000 men",people,High,https://www.loc.gov/item/afc2001001.52884/
3938843875,Andre G. Beaumont,53,"The crossing took about four or five days, and I remember feeling seasick for a day or so. When we finally arrived in a picturesque bay, the scenery was breathtaking. Rugged mountains, their peaks often shrouded in mist, rose dramatically around us, and I felt a mix of excitement and apprehension. The landscape was dotted with lush green valleys and shimmering lochs, reflecting the sky above. We unloaded in a port town known for its rich maritime history and boarded troop trains that took us through the rolling hills and quaint villages, where we were fed meat pies and coffee before arriving at our next destination. From there, we boarded a converted freighter run by Sikh soldiers, who were intimidating yet kind. I slept in a hammock for the first time in my life.","The crossing took about four or five days, and I remember feeling seasick for a day or so. When we finally arrived in the Firth of Clyde in Scotland, the scenery was breathtaking. The Scottish highlands rose majestically around us, and I felt a mix of excitement and apprehension. We unloaded in Greenock and boarded troop trains that took us through England, where we were fed meat pies and coffee before arriving in Southampton. From there, we boarded a converted freighter run by Sikh soldiers, who were intimidating yet kind. I slept in a hammock for the first time in my life.",scotland,places,High,https://www.loc.gov/item/afc2001001.52884/
6395669461,Andre G. Beaumont,57,"The crossing took about four or five days, and I remember feeling seasick for a day or so. When we finally arrived in the Firth of Clyde in Scotland, the scenery was breathtaking. The Scottish highlands rose majestically around us, and I felt a mix of excitement and apprehension. We unloaded in Greenock and boarded troop trains that took us through England, where we were served meat pies and coffee before arriving in Southampton. From there, we boarded a converted freighter manned by a group of soldiers with distinct turbans and beards, their presence both intimidating and kind. They moved with a sense of discipline and camaraderie, and I could see the pride in their eyes as they tended to us. I slept in a hammock for the first time in my life.","The crossing took about four or five days, and I remember feeling seasick for a day or so. When we finally arrived in the Firth of Clyde in Scotland, the scenery was breathtaking. The Scottish highlands rose majestically around us, and I felt a mix of excitement and apprehension. We unloaded in Greenock and boarded troop trains that took us through England, where we were fed meat pies and coffee before arriving in Southampton. From there, we boarded a converted freighter run by Sikh soldiers, who were intimidating yet kind. I slept in a hammock for the first time in my life.",sikh soldiers,people,High,https://www.loc.gov/item/afc2001001.52884/
9991404710,Andre G. Beaumont,59,"Eventually, we arrived at a bustling port city known for its rich history and vibrant culture, and boarded freight trains known as ""forty and eights."" I learned later that the name referred to the capacity of the cars—forty men or eight horses. We were packed in tightly, and after a long journey, we were unloaded in Belgium. There, we were taken to a chateau on a hill, surrounded by picturesque vineyards and charming architecture, but we slept in tents on the icy ground. It was one of the coldest winters in European history, and I remember the biting chill.","Eventually, we arrived in Le Havre, France, and boarded freight trains known as ""forty and eights."" I learned later that the name referred to the capacity of the cars—forty men or eight horses. We were packed in tightly, and after a long journey, we were unloaded in Belgium. There, we were taken to a chateau on a hill, but we slept in tents on the icy ground. It was one of the coldest winters in European history, and I remember the biting chill.",france,places,High,https://www.loc.gov/item/afc2001001.52884/
7362919598,Andre G. Beaumont,62,"Eventually, we arrived in Le Havre, France, and boarded freight trains designed to carry a large number of soldiers or a few horses, with cramped compartments that left little room to move. The cars were made of sturdy metal, built for durability rather than comfort, and the smell of oil and rust filled the air. We were packed in tightly, and after a long journey, we were unloaded in Belgium. There, we were taken to a chateau on a hill, but we slept in tents on the icy ground. It was one of the coldest winters in European history, and I remember the biting chill.","Eventually, we arrived in Le Havre, France, and boarded freight trains known as ""forty and eights."" I learned later that the name referred to the capacity of the cars—forty men or eight horses. We were packed in tightly, and after a long journey, we were unloaded in Belgium. There, we were taken to a chateau on a hill, but we slept in tents on the icy ground. It was one of the coldest winters in European history, and I remember the biting chill.",forty and eights,events,High,https://www.loc.gov/item/afc2001001.52884/
7706374684,Andre G. Beaumont,66,"After a day, we were trucked to a small village in Belgium, where I was introduced to Captain Thomas Mitchell of Company F, part of a division known for its fierce determination and resilience in the face of adversity. We were the first replacements for a unit that had recently faced an ambush, a group renowned for their bravery and tenacity in combat. I was issued my rifle and assigned to the third squad of the third platoon. I quickly learned that we were stepping in for men who had been caught off guard just days before, a unit that had endured heavy fighting and had earned a reputation for their grit. The winter was brutal, and the cold was relentless.","After a day, we were trucked to a small village in Belgium, where I was introduced to Captain Thomas Mitchell of Company F, 331st Infantry, 83rd Infantry Division. We were the first replacements for a unit that had just come out of combat. I was issued my rifle and assigned to the third squad of the third platoon. I quickly learned that we were filling in for men who had been ambushed just days before. The winter was brutal, and the cold was relentless. ",331st infantry,organizations,High,https://www.loc.gov/item/afc2001001.52884/
9916216588,Andre G. Beaumont,68,"After a day, we were trucked to a small village in Belgium, where I was introduced to Captain Thomas Mitchell of Company F, 331st Infantry, 83rd Infantry Division. We were the first replacements for a unit that had just come out of combat. I was issued my rifle and assigned to the third squad of the third platoon. I quickly learned that we were filling in for men who had been ambushed just days before. The air was biting and crisp, with a sharpness that cut through our uniforms. Frost clung to the ground, and the trees stood bare, their branches reaching out like skeletal fingers. The nights were long and frigid, and the dampness seeped into our bones, making every moment outside feel like a test of endurance.","After a day, we were trucked to a small village in Belgium, where I was introduced to Captain Thomas Mitchell of Company F, 331st Infantry, 83rd Infantry Division. We were the first replacements for a unit that had just come out of combat. I was issued my rifle and assigned to the third squad of the third platoon. I quickly learned that we were filling in for men who had been ambushed just days before. The winter was brutal, and the cold was relentless. ",winter,events,High,https://www.loc.gov/item/afc2001001.52884/
